Sentence Date,Incarceration,Supervised Probation,Unsupervised Probation,Other Sentence
2018 Q1,85,55,17,47
2018 Q2,78,62,11,36
2018 Q3,62,50,7,47
2018 Q4,64,51,16,42
2019 Q1,75,67,5,55
2019 Q2,58,45,6,48
2019 Q3,58,42,7,58
2019 Q4,39,32,5,34
2020 Q1,44,39,6,39
2020 Q2,29,23,5,6
2020 Q3,66,54,9,22
2020 Q4,49,45,3,22
2021 Q1,31,27,4,42
2021 Q2,26,23,4,37
2021 Q3,13,11,3,67
2021 Q4,22,19,0,109
2022 Q1,15,13,0,88
2022 Q2,12,8,1,82
2022 Q3,8,5,1,55
2022 Q4,7,7,1,20
