Disposition Year,Black Cases Not Deferred,Black Cases Deferred,Black Total Cases Disposed,Hispanic Cases Not Deferred,Hispanic Cases Deferred,Hispanic Total Cases Disposed,White Cases Not Deferred,White Cases Deferred,White Total Cases Disposed,Percent of Black defendants receiving PBJ,Percent of Hispanic defendants receiving PBJ,Percent of White defendants receiving PBJ
2019,10228,9747,19975,269,256,525,2039,1474,3513,48.79599499,48.76190476,41.95844008
2020,5616,8352,13968,186,253,439,943,1098,2041,59.79381443,57.6309795,53.79715826
2021,4760,8392,13152,222,239,461,818,950,1768,63.80778589,51.84381779,53.73303167
2022,4274,8532,12806,184,301,485,677,992,1669,66.62501952,62.06185567,59.4367885
2023,5087,8489,13576,249,306,555,736,971,1707,62.52946376,55.13513514,56.88342121
2024,7294,8323,15617,241,325,566,1019,1002,2021,53.29448678,57.4204947,49.57941613
2025,5869,9867,15736,202,336,538,790,993,1783,62.70335536,62.4535316,55.69265283
