,Percent NollePros
2019 Q1,26.7%
2019 Q2,28.3%
2019 Q3,27.1%
2019 Q4,32.7%
2020 Q1,33.7%
2020 Q2,33.0%
2020 Q3,37.0%
2020 Q4,32.8%
2021 Q1,38.2%
2021 Q2,34.8%
2021 Q3,30.4%
2021 Q4,30.0%
2022 Q1,25.7%
2022 Q2,27.7%
2022 Q3,27.4%
2022 Q4,32.7%
2023 Q1,32.4%
2023 Q2,26.0%
2023 Q3,26.0%
2023 Q4,26.2%
2024 Q1,29.8%
2024 Q2,24.5%
2024 Q3,23.9%
2024 Q4,24.2%
2025 Q1,25.1%
2025 Q2,25.6%
2025 Q3,26.2%
2025 Q4,27.2%
