Disposition Quarter,Number of cases resulting in conviction,Number of cases resulting in no conviction,Total Cases Disposed,Percent of cases resulting in conviction
2019,124,38,162,76.54320988
2020,81,26,107,75.70093458
2021,144,20,164,87.80487805
2022,143,26,169,84.61538462
2023,187,85,272,68.75
