Year,MostSeriousFiledCharge
2018 Q1,4433
2018 Q2,5228
2018 Q3,5237
2018 Q4,4873
2019 Q1,4924
2019 Q2,5536
2019 Q3,5194
2019 Q4,4507
2020 Q1,4625
2020 Q2,3037
2020 Q3,3704
2020 Q4,3312
2021 Q1,3150
2021 Q2,3527
2021 Q3,3678
2021 Q4,3424
2022 Q1,3213
2022 Q2,3724
2022 Q3,3722
2022 Q4,3320
2023 Q1,3513
2023 Q2,3540
2023 Q3,3761
2023 Q4,3549
2024 Q1,3889
2024 Q2,3886
2024 Q3,3877
2024 Q4,3787
