FilingQuarter,Total
2019 Q1,44
2019 Q2,45
2019 Q3,39
2019 Q4,37
2020 Q1,51
2020 Q2,15
2020 Q3,41
2020 Q4,40
2021 Q1,34
2021 Q2,53
2021 Q3,42
2021 Q4,30
2022 Q1,42
2022 Q2,50
2022 Q3,52
2022 Q4,37
2023 Q1,60
2023 Q2,53
2023 Q3,50
2023 Q4,47
2024 Q1,44
2024 Q2,65
2024 Q3,56
2024 Q4,34
2025 Q1,60
