File Date,Percent of Felony Cases with only Misdemeanor Convictions
2018 Q1,31.00%
2018 Q2,38.00%
2018 Q3,40.00%
2018 Q4,31.00%
2019 Q1,33.00%
2019 Q2,26.00%
2019 Q3,24.00%
2019 Q4,32.00%
2020 Q1,32.00%
2020 Q2,21.00%
2020 Q3,14.00%
2020 Q4,28.00%
2021 Q1,22.00%
2021 Q2,40.00%
2021 Q3,20.00%
2021 Q4,36.00%
2022 Q1,27.00%
2022 Q2,41.00%
2022 Q3,33.00%
2022 Q4,50.00%
