File Date,Percent of Filed Cases with a Felony Top Charge
2018 Q1,89.00%
2018 Q2,85.00%
2018 Q3,87.00%
2018 Q4,90.00%
2019 Q1,79.00%
2019 Q2,83.00%
2019 Q3,87.00%
2019 Q4,75.00%
2020 Q1,82.00%
2020 Q2,73.00%
2020 Q3,72.00%
2020 Q4,73.00%
2021 Q1,80.00%
2021 Q2,73.00%
2021 Q3,61.00%
2021 Q4,58.00%
2022 Q1,84.00%
2022 Q2,83.00%
2022 Q3,82.00%
2022 Q4,43.00%
