,Racial/ethnic Minority or Combination
Jan 2018,56.63
Feb 2018,59.68
Mar 2018,52.7
Apr 2018,56.52
May 2018,50
Jun 2018,58.89
Jul 2018,60.71
Aug 2018,54.29
Sep 2018,43.75
Oct 2018,50.59
Nov 2018,63.46
Dec 2018,61.54
Jan 2019,43.21
Feb 2019,57.89
Mar 2019,60.44
Apr 2019,59.21
May 2019,50.67
Jun 2019,52.63
Jul 2019,55.26
Aug 2019,55.56
Sep 2019,46.77
Oct 2019,49.33
Nov 2019,41.38
Dec 2019,48.65
