YEAR,Total Employees,Attorneys,Staff,White Attorneys,Non-White Attorneys,Male Attorneys,Female Attorneys,Executive Team,Male Executives,Female Executives,White Executives,Non-White Executives
2019,169,78,91,63,15,38,40,18,8,10,17,1
2020,161,75,86,60,15,37,38,17,11,6,16,1
2021,160,76,84,60,16,35,41,16,7,9,15,1
2022,162,75,87,55,20,35,40,18,7,11,16,2
2023,169,78,88,57,21,35,43,16,7,9,13,3
