,Number of violent crime cases with a juvenile victim
2018 Q1,31
2018 Q2,25
2018 Q3,31
2018 Q4,28
2019 Q1,40
2019 Q2,35
2019 Q3,20
2019 Q4,36
2020 Q1,23
2020 Q2,12
2020 Q3,23
2020 Q4,25
2021 Q1,32
2021 Q2,30
2021 Q3,26
2021 Q4,21
2022 Q1,23
2022 Q2,9
2022 Q3,8
2022 Q4,8
