Date Filed,Violent Crime
2018 Q1,137
2018 Q2,136
2018 Q3,140
2018 Q4,142
2019 Q1,141
2019 Q2,149
2019 Q3,132
2019 Q4,147
2020 Q1,130
2020 Q2,140
2020 Q3,138
2020 Q4,150
2021 Q1,155
2021 Q2,151
2021 Q3,142
2021 Q4,141
2022 Q1,135
2022 Q2,161
2022 Q3,161
2022 Q4,163
2023 Q1,212
2023 Q2,261
2023 Q3,156
2023 Q4,151
2024 Q1,148
2024 Q2,131
