Disposition Type,All Cases,Black,White,Hispanic,Other
Conviction,86.70%,83.57%,84.28%,83.50%,74.16%
Dismissal,8.70%,8.62%,7.13%,9.11%,11.74%
Acquittal,1.00%,1.11%,0.31%,0.99%,0.67%
Other Disposition,3.60%,3.26%,3.46%,3.45%,5.70%
,,,,,
,,,,,
