Disposition Type,All Cases,Black,White,Hispanic,Other
Conviction,81.95%,83.57%,84.28%,83.50%,74.16%
Dismissal,8.25%,8.62%,7.13%,9.11%,11.74%
Acquittal,0.80%,1.11%,0.31%,0.99%,0.67%
Other Disposition,3.45%,3.26%,3.46%,3.45%,5.70%
