Disposition Date,Conviction,Dismissal,Acquittal,Other Disposition,Missing
2018,797,151,11,25,12
2019,862,178,22,22,28
2020,616,126,7,10,13
2021,704,106,17,13,21
2022,932,71,6,15,59
