Year,Other Disposition,Dismissed,Stet,PBJ,Acquitted,Guilty
2019,143,2159,699,786,76,1909
2020,130,1365,395,421,29,843
2021,137,1975,424,426,86,1145
2022,178,1724,422,626,57,1137
2023,134,1551,496,721,94,1197
