Year,Other Disposition,Plea Dismissal,Dismissed,Stet,PBJ,Acquitted,Guilty
2019,22,329,178,624,809,72,1766
2020,48,200,61,371,425,20,746
2021,41,305,124,398,416,67,997
2022,47,314,109,412,652,56,1067
2023,40,344,262,474,759,87,1226
