Year,Other Disposition,Dismissed,Stet,PBJ,Acquitted,Guilty
2019,8,200,79,215,9,918
2020,13,121,50,94,3,532
2021,16,96,43,79,11,635
2022,19,118,51,83,13,706
2023,14,135,72,131,22,929
