FilingQuarter,Circuit Court,District Court
2019 Q1,367,1078
2019 Q2,379,1025
2019 Q3,343,831
2019 Q4,384,829
2020 Q1,284,825
2020 Q2,66,386
2020 Q3,183,527
2020 Q4,176,439
2021 Q1,153,551
2021 Q2,227,601
2021 Q3,252,550
2021 Q4,258,607
2022 Q1,175,599
2022 Q2,243,707
2022 Q3,260,750
2022 Q4,223,654
2023 Q1,328,617
2023 Q2,235,569
2023 Q3,309,577
2023 Q4,318,766
