Year,Adult - Carjacking,Adult - Unlawful Taking of a MV,Juvenile - Carjacking,Juvenile - Unlawful Taking of a MV
2018,96,795,22,152
2019,131,849,53,119
2020,106,761,77,105
2021,89,851,36,88
2022,124,763,22,95
2023,115,775,58,230
2024,123,828,70,267
