Disposition Year,Black Cases Not Deferred,Black Cases Deferred,Black Total Cases Disposed,Hispanic Cases Not Deferred,Hispanic Cases Deferred,Hispanic Total Cases Disposed,White Cases Not Deferred,White Cases Deferred,White Total Cases Disposed,Percent of Black defendants receiving PBJ,Percent of Hispanic defendants receiving PBJ,Percent of White defendants receiving PBJ
2022,1037,140,1177,173,36,209,2130,482,2612,11.89464741,17.22488038,18.4532925
2023,1169,184,1353,184,47,231,2173,540,2713,13.59940872,20.34632035,19.90416513
2024,1066,167,1233,185,61,246,2118,508,2626,13.54420114,24.79674797,19.34501142
2025,1062,203,1265,141,52,193,1899,433,2332,16.04743083,26.94300518,18.567753
2026,620,90,710,120,24,144,1075,210,1285,12.67605634,16.66666667,16.34241245
