FilingQuarter,Male,Female
2017 Q3,3,2
2017 Q4,4,2
2018 Q1,2,4
2018 Q2,4,2
2018 Q3,9,7
2018 Q4,6,3
2019 Q1,9,4
2019 Q2,8,7
2019 Q3,10,10
2019 Q4,13,5
2020 Q1,6,5
2020 Q2,1,1
2020 Q3,4,3
2020 Q4,4,4
2021 Q1,3,2
2021 Q2,1,1
2021 Q3,1,0
2021 Q4,5,2
2022 Q1,9,2
2022 Q2,8,1
2022 Q3,2,1
2022 Q4,1,2
2023 Q1,0,1
